sentiment_class,total_trades,total_volume,avg_trade_size,median_trade_size,unique_days,avg_trades_per_day,avg_volume_per_day
Extreme Fear,21400,114484261.44,5349.7318429906545,766.15,14,1528.5714285714287,8177447.245714285
Fear,61837,483324789.79,7816.109930785776,735.96,91,679.5274725274726,5311261.426263737
Neutral,37686,180242063.08,4782.732661465797,547.655,67,562.4776119402985,2690180.0459701493
Greed,50309,288671163.58,5737.9626623466975,555.0,194,259.32474226804123,1487995.688556701
Extreme Greed,39992,124465164.57,3112.2515645629123,500.05,114,350.8070175438597,1091799.6892105262
