scope,corr_leverage_pnl,corr_leverage_roe,corr_leverage_pnl_pct,sample_size
Overall,-0.04066298533049022,0.08372834266970033,0.004603695579497062,104408
Extreme Fear,-0.028550187643671485,0.06626927158301801,0.012054082426560114,10406
Fear,-0.04762404085268458,0.23601495172612813,0.018824124969532154,29808
Neutral,-0.050637519652824245,0.07614706194403031,-0.0010353848484932243,18159
Greed,-0.02982315884723654,0.22398869971656696,0.025980285630871167,25182
Extreme Greed,-0.05920615703051741,0.08919036261957486,0.006326969607165265,20853
