Account,sentiment_class,total_pnl,avg_pnl,win_rate,avg_leverage,avg_trade_size,trade_count,profit_factor
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,124769.221441,3372.1411200270272,1.0,8.91891891891892,20332.52162162162,37,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-40282.335904,-163.74933294308943,0.25609756097560976,6.288617886178862,15070.897764227642,246,0.7383009857654893
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.547515,1059.3468577687916,0.89058039961941,7.80209324452902,16312.432559467175,1051,14.93458757718971
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.270187,1808.6226809607842,0.6013071895424836,6.973856209150327,29572.417189542484,153,2.400052271986982
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,125650.11674,512.8576193469388,1.0,6.538775510204082,16607.474530612246,245,inf
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,-4235.153050999999,-68.30892017741934,0.8225806451612904,10.741935483870968,2777.6370967741937,62,0.24915118265769587
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,35658.894935000004,74.91364482142858,1.0,10.256302521008404,1766.2253781512607,476,inf
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1658.7368009999998,-1.0551760820610685,0.7977099236641222,12.194020356234097,851.0883778625954,1572,0.8873177720420291
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,30053.395556,18.08266880625752,0.7111913357400722,11.583032490974729,1906.531985559567,1662,4.714812151143814
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-11933.080125,-30.287005393401017,0.6598984771573604,10.814720812182742,1366.4820812182743,394,0.18614236740457973
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,16706.884912,54.59766311111112,0.9803921568627451,9.055555555555555,4335.52477124183,306,1560.4061495554258
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,1793.1602149999999,448.29005374999997,1.0,7.5,20135.48,4,inf
0x271b280974205ca63b716753467d5a371de622ab,Fear,30121.91049,39.84379694444444,0.9444444444444444,8.41005291005291,9859.0916005291,756,122.99907977540373
0x271b280974205ca63b716753467d5a371de622ab,Greed,-100019.806374,-326.86211233333336,0.43137254901960786,7.627450980392157,23884.049346405227,306,0.12325673630832504
0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19038.340561,-81.01421515319149,0.0,8.51063829787234,3430.68685106383,235,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,-25666.012284,-92.3237851942446,0.5935251798561151,11.845323741007194,868.1746762589928,278,0.09049205674055824
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,108009.960644,27.420655152069056,0.8441228738258442,12.642041127189643,433.40464331048486,3939,24.058297262165773
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,13422.524859,19.94431628380386,0.8945022288261516,12.423476968796434,705.984249628529,673,7.39257796740249
