sentiment_class,var_95,var_99,worst_loss,avg_loss,num_losses,loss_ratio
Extreme Fear,-198.699782,-1211.73989065,-31036.69194,-257.099628909899,2475,0.23784355179704017
Fear,-17.780042549999997,-236.60430873,-35681.74723,-156.6624008867775,3789,0.12711352657004832
Neutral,-27.326341199999998,-359.8815749399999,-24500.0,-121.72784874202627,3198,0.1761110193292582
Greed,-37.75736625,-417.52965048000004,-117990.1041,-181.9673288169474,5818,0.2310380430466206
Extreme Greed,-5.843051599999997,-135.43484032,-10259.468,-119.92028871801683,2259,0.10832973672852828
