Coin,total_pnl,avg_pnl,win_rate,trade_count,volume,profit_factor
@107,2783912.919016,162.17598269928928,0.8169637655831294,17166,27495103.21,8.110341876819392
HYPE,1948484.599761,60.86921994817406,0.8816344381618818,32011,70895815.8,12.648848724512298
SOL,1639555.927506,325.95545278449305,0.8387673956262426,5030,62158478.13,11.658179854913875
ETH,1319978.838852,252.48256290206578,0.7681713848508034,5228,58869131.43,2.7491224705098958
BTC,868044.732638,78.8486449848306,0.8305931510582251,11009,321027429.81,2.9758842555280247
MELANIA,390351.069856,176.5495566965174,0.8891904115784712,2211,3571759.38,12.58091961212748
ENA,217329.503554,654.6069384156626,0.9337349397590361,332,613584.24,43.926039672981574
SUI,199268.834922,223.14539184994402,0.9395296752519597,893,3985028.33,281.6804323389064
ZRO,183777.783689,231.45816585516374,0.5730478589420654,794,888371.74,44.08782354072508
DOGE,147543.156534,321.4447854771242,0.8758169934640523,459,1163571.46,93.01460141947551
PURR/USDC,75261.058019,63.40442967059815,0.8331929233361416,1187,670359.0,3.9624441207022176
AIXBT,73712.168895,149.21491679149796,0.9635627530364372,494,668534.72,77.83620986132769
BERA,73689.746587,121.0012259228243,0.8932676518883416,609,1190684.75,3.336273256457101
USUAL,69631.943237,161.9347517139535,0.7511627906976744,430,448347.98,21.364254456798307
EIGEN,65030.852352,663.5801260408164,0.9387755102040817,98,176399.4,256.62187847590144
AVAX,48297.313845000004,459.9744175714286,0.9619047619047619,105,154560.09,1733.6079835339278
ETHFI,43929.006074,354.266178016129,1.0,124,362893.22,inf
JUP,42909.223316999996,140.22621999019606,0.9640522875816994,306,764523.2999999999,12.074876205665662
kBONK,35551.245276,30.51609036566524,0.5278969957081545,1165,1533112.69,5.854030629133474
JELLY,35193.716244,38.631960750823275,0.8814489571899012,911,1053565.33,14.88249464920956
PURR,26766.355202,31.015475320973348,0.9455388180764774,863,517773.47000000003,117.46771603530392
@85,26506.140009,616.4218606744186,1.0,43,31590.31,inf
ONDO,24570.824905,34.12614570138889,0.9847222222222223,720,866564.33,115.95146640211033
WLD,22281.920156,23.704170378723404,0.7563829787234042,940,1352094.01,3.566086061034979
ANIME,21317.258031,80.74718951136364,0.8143939393939394,264,301642.88,18.385366490470638
ZEREBRO,21166.925278,33.073320746875,0.9671875,640,656612.38,86.59143884128218
LAYER,20496.4351,259.44854556962025,0.810126582278481,79,337891.6,2.2379521671496123
VIRTUAL,19544.481508,57.995494089020774,0.9287833827893175,337,689682.9,7.492396271328104
kPEPE,18676.997284,18.080345870280738,0.47725072604065827,1033,1197444.26,2.519657255204678
TAO,16817.94047,25.290136045112785,0.8932330827067669,665,890177.48,19.318555862418165
MOODENG,16167.348348000001,288.7026490714286,0.7142857142857143,56,88972.94,144.18232015330406
ME,16011.899938,71.80224187443946,0.7668161434977578,223,152863.62,4.702777622598955
PNUT,14844.964381,32.06255805831533,0.9913606911447084,463,486326.66,727.9860555463733
NEAR,13957.535979,69.44047750746269,1.0,201,406241.79,inf
RNDR,13566.322558,92.92001752054794,1.0,146,334375.83,inf
TIA,13021.498254,82.41454591139241,0.8291139240506329,158,379567.47,5.47548608286985
@151,11583.842769,38.4845274717608,0.9867109634551495,301,550591.13,238.04076552846814
SEI,9957.777466,58.57516156470588,0.8647058823529412,170,603023.71,6.384852964958677
APE,9731.40994,40.37929435684647,0.9585062240663901,241,324030.32,112.03513141169067
ARB,9634.58006,209.44739260869565,0.9347826086956522,46,134066.13,1150.0405850237053
WIF,8984.600779,47.53757025925926,0.9312169312169312,189,291146.82,3.2178103022364617
TURBO,8540.129944,149.82684112280702,0.9473684210526315,57,95096.97,2174.885803494405
MAVIA,8257.300045,35.137447,1.0,235,184511.13,inf
GOAT,8142.94114,129.25303396825396,1.0,63,191917.14,inf
OP,8078.296967,85.03470491578948,0.9894736842105263,95,137118.91,855.2012049948314
AI16Z,8024.352668,22.603810332394367,0.8225352112676056,355,312892.53,3.4762468034212897
PENDLE,7712.609738,12.984191478114479,0.8888888888888888,594,313425.14,5.6538545615782585
AAVE,7485.007984,32.68562438427948,0.8253275109170306,229,552104.93,2.291268538164114
@142,7450.359672,22.107892201780412,0.8071216617210683,337,1057698.79,2.8175364611481517
JTO,7408.051171,102.88959959722223,0.8194444444444444,72,181631.19,6.032004158156503
GRIFFAIN,7092.139995,16.845938230403803,0.9524940617577197,421,292907.05,5.4091030460643905
FTM,6916.166218,113.37977406557377,0.9836065573770492,61,232094.44,237.73041592356464
FTT,6909.363767,10.863779507861635,0.8411949685534591,636,186694.25,15.55828482159917
ZORA,6816.51283,69.55625336734694,0.9897959183673469,98,167681.1,5457577.325060048
RUNE,6244.389123,28.643986802752295,0.8440366972477065,218,333158.02,4.375593395541956
RENDER,6100.258256,48.41474806349206,0.9761904761904762,126,115977.1,1113.495578655579
INJ,5919.778398,56.92094613461539,0.9711538461538461,104,175056.87,35.00559549703106
ALT,5870.702544,32.43482068508287,0.8950276243093923,181,230209.11,6.162570411484859
LTC,5626.143524,50.23342432142857,1.0,112,170963.44,inf
SPX,5612.831099,77.95598748611111,0.9722222222222222,72,141906.81,25910.759031528414
@109,5414.08414,386.7202957142857,1.0,14,5552.03,inf
ILV,5309.104755,64.7451799390244,0.7804878048780488,82,153324.46,20.010241971292473
PENGU,5217.341266,10.497668543259557,0.7665995975855131,497,505518.69,2.7575726557054465
TNSR,5106.264766,16.366233224358975,0.8910256410256411,312,205383.02,105.3152287291062
