sentiment_class,total_pnl,avg_pnl,median_pnl,std_pnl,win_rate,total_volume,avg_volume,avg_roe,trade_count,profit_factor
Extreme Fear,739110.24849,71.02731582644628,6.38805,1628.408341469025,0.7621564482029598,56895537.78,5467.570418989045,0.10406560088339646,10406,2.1615357233166548
Fear,3357155.441642,112.62598770940687,6.3504830000000005,1344.778427010174,0.8728864734299517,239690314.39,8041.140445182501,0.3438610848264611,29808,6.655644032349053
Neutral,1292920.67555,71.19999314664905,4.583458,743.2128626515139,0.8238889806707418,100899481.73,5556.444833415937,0.21525008050763825,18159,4.321264581464444
Greed,2192601.267081,87.07017977448177,4.9317975,1581.964391680646,0.7689619569533794,137012669.19,5440.897037169407,0.4517464169247443,25182,3.0710592514860395
Extreme Greed,2715171.310673,130.20530910051312,8.53074,1058.1261390742845,0.8916702632714717,57962240.42,2779.563632091306,1.0245766516723713,20853,11.022783278248012
